species,scientific_name,start_time,end_time,confidence,label,File,timestamp_str,duration
House Wren,Troglodytes aedon,18.0,21.0,0.16731414198875427,Troglodytes aedon_House Wren,20250610_063000.WAV,20250610_063000,3.0
Indian Scops-Owl,Otus bakkamoena,27.0,30.0,0.1147841289639473,Otus bakkamoena_Indian Scops-Owl,20250610_063000.WAV,20250610_063000,3.0
Rufous-capped Warbler,Basileuterus rufifrons,51.0,54.0,0.1512419730424881,Basileuterus rufifrons_Rufous-capped Warbler,20250610_063000.WAV,20250610_063000,3.0
Eurasian Wren,Troglodytes troglodytes,27.0,30.0,0.10854179412126541,Troglodytes troglodytes_Eurasian Wren,20250610_063200.WAV,20250610_063200,3.0
Collared Scops-Owl,Otus lettia,39.0,42.0,0.16693587601184845,Otus lettia_Collared Scops-Owl,20250610_063300.WAV,20250610_063300,3.0
Engine,Engine,39.0,42.0,0.15437394380569458,Engine_Engine,20250610_063300.WAV,20250610_063300,3.0
Barn Owl,Tyto alba,42.0,45.0,0.22582724690437317,Tyto alba_Barn Owl,20250610_063300.WAV,20250610_063300,3.0
Oriental Scops-Owl,Otus sunia,48.0,51.0,0.13276226818561554,Otus sunia_Oriental Scops-Owl,20250610_063300.WAV,20250610_063300,3.0
Common True Katydid,Pterophylla camellifolia,24.0,27.0,0.11505686491727829,Pterophylla camellifolia_Common True Katydid,20250610_063400.WAV,20250610_063400,3.0
Oriental Scops-Owl,Otus sunia,30.0,33.0,0.23405495285987854,Otus sunia_Oriental Scops-Owl,20250610_063400.WAV,20250610_063400,3.0
Mottled Wood-Owl,Strix ocellata,30.0,33.0,0.10411612689495087,Strix ocellata_Mottled Wood-Owl,20250610_063400.WAV,20250610_063400,3.0
Indian Scops-Owl,Otus bakkamoena,30.0,33.0,0.10145421326160431,Otus bakkamoena_Indian Scops-Owl,20250610_063400.WAV,20250610_063400,3.0
Chestnut-winged Babbler,Cyanoderma erythropterum,39.0,42.0,0.11708852648735046,Cyanoderma erythropterum_Chestnut-winged Babbler,20250610_063400.WAV,20250610_063400,3.0
Marsh Wren,Cistothorus palustris,9.0,12.0,0.42677512764930725,Cistothorus palustris_Marsh Wren,20250610_063500.WAV,20250610_063500,3.0
Common Virtuoso Katydid,Amblycorypha longinicta,27.0,30.0,0.11097163707017899,Amblycorypha longinicta_Common Virtuoso Katydid,20250610_063500.WAV,20250610_063500,3.0
Oriental Scops-Owl,Otus sunia,18.0,21.0,0.5395605564117432,Otus sunia_Oriental Scops-Owl,20250610_063600.WAV,20250610_063600,3.0
Brown Wood-Owl,Strix leptogrammica,18.0,21.0,0.22787083685398102,Strix leptogrammica_Brown Wood-Owl,20250610_063600.WAV,20250610_063600,3.0
Mottled Wood-Owl,Strix ocellata,18.0,21.0,0.21115897595882416,Strix ocellata_Mottled Wood-Owl,20250610_063600.WAV,20250610_063600,3.0
Indian Scops-Owl,Otus bakkamoena,21.0,24.0,0.18906302750110626,Otus bakkamoena_Indian Scops-Owl,20250610_063600.WAV,20250610_063600,3.0
Collared Scops-Owl,Otus lettia,21.0,24.0,0.1589425802230835,Otus lettia_Collared Scops-Owl,20250610_063600.WAV,20250610_063600,3.0
Indian Scops-Owl,Otus bakkamoena,3.0,6.0,0.14844730496406555,Otus bakkamoena_Indian Scops-Owl,20250610_063700.WAV,20250610_063700,3.0
Indian Scops-Owl,Otus bakkamoena,6.0,9.0,0.1347576230764389,Otus bakkamoena_Indian Scops-Owl,20250610_064000.WAV,20250610_064000,3.0
Indian Scops-Owl,Otus bakkamoena,6.0,9.0,0.1172250434756279,Otus bakkamoena_Indian Scops-Owl,20250610_064200.WAV,20250610_064200,3.0
Oriental Scops-Owl,Otus sunia,21.0,24.0,0.16061875224113464,Otus sunia_Oriental Scops-Owl,20250610_064200.WAV,20250610_064200,3.0
Oriental Scops-Owl,Otus sunia,30.0,33.0,0.12220834940671921,Otus sunia_Oriental Scops-Owl,20250610_064200.WAV,20250610_064200,3.0
Barn Owl,Tyto alba,39.0,42.0,0.1136619970202446,Tyto alba_Barn Owl,20250610_064200.WAV,20250610_064200,3.0
Barn Owl,Tyto alba,15.0,18.0,0.12472275644540787,Tyto alba_Barn Owl,20250610_064300.WAV,20250610_064300,3.0
Gray-headed Babbler,Stachyris poliocephala,27.0,30.0,0.10102390497922897,Stachyris poliocephala_Gray-headed Babbler,20250610_064300.WAV,20250610_064300,3.0
Chestnut-winged Babbler,Cyanoderma erythropterum,36.0,39.0,0.23563100397586823,Cyanoderma erythropterum_Chestnut-winged Babbler,20250610_064300.WAV,20250610_064300,3.0
Common True Katydid,Pterophylla camellifolia,45.0,48.0,0.1112528145313263,Pterophylla camellifolia_Common True Katydid,20250610_064300.WAV,20250610_064300,3.0
Gray-headed Babbler,Stachyris poliocephala,48.0,51.0,0.12538358569145203,Stachyris poliocephala_Gray-headed Babbler,20250610_064300.WAV,20250610_064300,3.0
Barn Owl,Tyto alba,51.0,54.0,0.4524742364883423,Tyto alba_Barn Owl,20250610_064300.WAV,20250610_064300,3.0
Snethlage's Tody-Tyrant,Hemitriccus minor,51.0,54.0,0.14998529851436615,Hemitriccus minor_Snethlage's Tody-Tyrant,20250610_064300.WAV,20250610_064300,3.0
Oriental Scops-Owl,Otus sunia,3.0,6.0,0.12785190343856812,Otus sunia_Oriental Scops-Owl,20250610_064400.WAV,20250610_064400,3.0
Barn Owl,Tyto alba,15.0,18.0,0.16219262778759003,Tyto alba_Barn Owl,20250610_064400.WAV,20250610_064400,3.0
Snethlage's Tody-Tyrant,Hemitriccus minor,21.0,24.0,0.15131579339504242,Hemitriccus minor_Snethlage's Tody-Tyrant,20250610_064400.WAV,20250610_064400,3.0
Barn Owl,Tyto alba,27.0,30.0,0.22097879648208618,Tyto alba_Barn Owl,20250610_064400.WAV,20250610_064400,3.0
Oriental Scops-Owl,Otus sunia,33.0,36.0,0.27902713418006897,Otus sunia_Oriental Scops-Owl,20250610_064500.WAV,20250610_064500,3.0
Oriental Scops-Owl,Otus sunia,48.0,51.0,0.5545133352279663,Otus sunia_Oriental Scops-Owl,20250610_064500.WAV,20250610_064500,3.0
Mottled Wood-Owl,Strix ocellata,48.0,51.0,0.15743450820446014,Strix ocellata_Mottled Wood-Owl,20250610_064500.WAV,20250610_064500,3.0
Jerdon's Nightjar,Caprimulgus atripennis,48.0,51.0,0.11539576947689056,Caprimulgus atripennis_Jerdon's Nightjar,20250610_064500.WAV,20250610_064500,3.0
Indian Scops-Owl,Otus bakkamoena,48.0,51.0,0.10784443467855453,Otus bakkamoena_Indian Scops-Owl,20250610_064500.WAV,20250610_064500,3.0
Brown Wood-Owl,Strix leptogrammica,48.0,51.0,0.10210485011339188,Strix leptogrammica_Brown Wood-Owl,20250610_064500.WAV,20250610_064500,3.0
Barn Owl,Tyto alba,51.0,54.0,0.13242016732692719,Tyto alba_Barn Owl,20250610_064500.WAV,20250610_064500,3.0
Common True Katydid,Pterophylla camellifolia,51.0,54.0,0.10675527900457382,Pterophylla camellifolia_Common True Katydid,20250610_064500.WAV,20250610_064500,3.0
Oriental Scops-Owl,Otus sunia,0.0,3.0,0.2253943830728531,Otus sunia_Oriental Scops-Owl,20250610_064600.WAV,20250610_064600,3.0
Mottled Wood-Owl,Strix ocellata,6.0,9.0,0.2113151103258133,Strix ocellata_Mottled Wood-Owl,20250610_064600.WAV,20250610_064600,3.0
Oriental Scops-Owl,Otus sunia,9.0,12.0,0.1878695785999298,Otus sunia_Oriental Scops-Owl,20250610_064600.WAV,20250610_064600,3.0
Oriental Scops-Owl,Otus sunia,12.0,15.0,0.11237188428640366,Otus sunia_Oriental Scops-Owl,20250610_064600.WAV,20250610_064600,3.0
Barn Owl,Tyto alba,15.0,18.0,0.16913381218910217,Tyto alba_Barn Owl,20250610_064600.WAV,20250610_064600,3.0
Common True Katydid,Pterophylla camellifolia,18.0,21.0,0.11868580430746078,Pterophylla camellifolia_Common True Katydid,20250610_064600.WAV,20250610_064600,3.0
Engine,Engine,24.0,27.0,0.167106494307518,Engine_Engine,20250610_064600.WAV,20250610_064600,3.0
Oriental Scops-Owl,Otus sunia,27.0,30.0,0.7941742539405823,Otus sunia_Oriental Scops-Owl,20250610_064600.WAV,20250610_064600,3.0
Oriental Scops-Owl,Otus sunia,30.0,33.0,0.3753325641155243,Otus sunia_Oriental Scops-Owl,20250610_064600.WAV,20250610_064600,3.0
Juniper Titmouse,Baeolophus ridgwayi,30.0,33.0,0.13604474067687988,Baeolophus ridgwayi_Juniper Titmouse,20250610_064600.WAV,20250610_064600,3.0
Oriental Scops-Owl,Otus sunia,36.0,39.0,0.1963302493095398,Otus sunia_Oriental Scops-Owl,20250610_064600.WAV,20250610_064600,3.0
Common True Katydid,Pterophylla camellifolia,39.0,42.0,0.14884325861930847,Pterophylla camellifolia_Common True Katydid,20250610_064600.WAV,20250610_064600,3.0
Oriental Scops-Owl,Otus sunia,51.0,54.0,0.4111831784248352,Otus sunia_Oriental Scops-Owl,20250610_064600.WAV,20250610_064600,3.0
Mottled Wood-Owl,Strix ocellata,51.0,54.0,0.12082481384277344,Strix ocellata_Mottled Wood-Owl,20250610_064600.WAV,20250610_064600,3.0
Oriental Scops-Owl,Otus sunia,3.0,6.0,0.17160886526107788,Otus sunia_Oriental Scops-Owl,20250610_064700.WAV,20250610_064700,3.0
Indian Scops-Owl,Otus bakkamoena,6.0,9.0,0.10099344700574875,Otus bakkamoena_Indian Scops-Owl,20250610_064800.WAV,20250610_064800,3.0
Barn Owl,Tyto alba,9.0,12.0,0.102645143866539,Tyto alba_Barn Owl,20250610_064800.WAV,20250610_064800,3.0
Indian Scops-Owl,Otus bakkamoena,9.0,12.0,0.10207832604646683,Otus bakkamoena_Indian Scops-Owl,20250610_064800.WAV,20250610_064800,3.0
Indian Nightjar,Caprimulgus asiaticus,36.0,39.0,0.10744649916887283,Caprimulgus asiaticus_Indian Nightjar,20250610_064800.WAV,20250610_064800,3.0
Elf Owl,Micrathene whitneyi,42.0,45.0,0.10520151257514954,Micrathene whitneyi_Elf Owl,20250610_064800.WAV,20250610_064800,3.0
Oriental Scops-Owl,Otus sunia,21.0,24.0,0.20142555236816406,Otus sunia_Oriental Scops-Owl,20250610_064900.WAV,20250610_064900,3.0
Oriental Scops-Owl,Otus sunia,45.0,48.0,0.10730955749750137,Otus sunia_Oriental Scops-Owl,20250610_064900.WAV,20250610_064900,3.0
Indian Scops-Owl,Otus bakkamoena,48.0,51.0,0.10734249651432037,Otus bakkamoena_Indian Scops-Owl,20250610_064900.WAV,20250610_064900,3.0
Oriental Scops-Owl,Otus sunia,27.0,30.0,0.11464427411556244,Otus sunia_Oriental Scops-Owl,20250610_065000.WAV,20250610_065000,3.0
Barn Owl,Tyto alba,18.0,21.0,0.11605294793844223,Tyto alba_Barn Owl,20250610_065100.WAV,20250610_065100,3.0
Collared Scops-Owl,Otus lettia,18.0,21.0,0.10508159548044205,Otus lettia_Collared Scops-Owl,20250610_065100.WAV,20250610_065100,3.0
Oriental Scops-Owl,Otus sunia,21.0,24.0,0.12367718666791916,Otus sunia_Oriental Scops-Owl,20250610_065100.WAV,20250610_065100,3.0
Indian Scops-Owl,Otus bakkamoena,24.0,27.0,0.10140500217676163,Otus bakkamoena_Indian Scops-Owl,20250610_065100.WAV,20250610_065100,3.0
Indian Scops-Owl,Otus bakkamoena,27.0,30.0,0.1117355152964592,Otus bakkamoena_Indian Scops-Owl,20250610_065100.WAV,20250610_065100,3.0
Indian Scops-Owl,Otus bakkamoena,30.0,33.0,0.10664892941713333,Otus bakkamoena_Indian Scops-Owl,20250610_065200.WAV,20250610_065200,3.0
Oriental Scops-Owl,Otus sunia,0.0,3.0,0.1905984729528427,Otus sunia_Oriental Scops-Owl,20250610_065300.WAV,20250610_065300,3.0
Oriental Scops-Owl,Otus sunia,3.0,6.0,0.1362447887659073,Otus sunia_Oriental Scops-Owl,20250610_065300.WAV,20250610_065300,3.0
Savi's Warbler,Locustella luscinioides,30.0,33.0,0.12570610642433167,Locustella luscinioides_Savi's Warbler,20250610_065300.WAV,20250610_065300,3.0
Indian Scops-Owl,Otus bakkamoena,42.0,45.0,0.16511523723602295,Otus bakkamoena_Indian Scops-Owl,20250610_065300.WAV,20250610_065300,3.0
Wrentit,Chamaea fasciata,3.0,6.0,0.10339602828025818,Chamaea fasciata_Wrentit,20250610_065400.WAV,20250610_065400,3.0
Indian Scops-Owl,Otus bakkamoena,27.0,30.0,0.14340254664421082,Otus bakkamoena_Indian Scops-Owl,20250610_065400.WAV,20250610_065400,3.0
Oriental Scops-Owl,Otus sunia,27.0,30.0,0.1426270306110382,Otus sunia_Oriental Scops-Owl,20250610_065400.WAV,20250610_065400,3.0
Collared Scops-Owl,Otus lettia,27.0,30.0,0.1297617405653,Otus lettia_Collared Scops-Owl,20250610_065400.WAV,20250610_065400,3.0
Jerdon's Nightjar,Caprimulgus atripennis,27.0,30.0,0.10846805572509766,Caprimulgus atripennis_Jerdon's Nightjar,20250610_065400.WAV,20250610_065400,3.0
Red-breasted Flycatcher,Ficedula parva,42.0,45.0,0.14777712523937225,Ficedula parva_Red-breasted Flycatcher,20250610_065400.WAV,20250610_065400,3.0
Common True Katydid,Pterophylla camellifolia,51.0,54.0,0.12718944251537323,Pterophylla camellifolia_Common True Katydid,20250610_065400.WAV,20250610_065400,3.0
African Scops-Owl,Otus senegalensis,3.0,6.0,0.1916108876466751,Otus senegalensis_African Scops-Owl,20250610_065500.WAV,20250610_065500,3.0
Indian Scops-Owl,Otus bakkamoena,21.0,24.0,0.12448269873857498,Otus bakkamoena_Indian Scops-Owl,20250610_065500.WAV,20250610_065500,3.0
Collared Scops-Owl,Otus lettia,48.0,51.0,0.14470133185386658,Otus lettia_Collared Scops-Owl,20250610_065700.WAV,20250610_065700,3.0
Indian Scops-Owl,Otus bakkamoena,48.0,51.0,0.12263882905244827,Otus bakkamoena_Indian Scops-Owl,20250610_065700.WAV,20250610_065700,3.0
Indian Scops-Owl,Otus bakkamoena,51.0,54.0,0.10478443652391434,Otus bakkamoena_Indian Scops-Owl,20250610_065700.WAV,20250610_065700,3.0
Barn Owl,Tyto alba,24.0,27.0,0.29736876487731934,Tyto alba_Barn Owl,20250610_065800.WAV,20250610_065800,3.0
Indian Scops-Owl,Otus bakkamoena,24.0,27.0,0.1022295206785202,Otus bakkamoena_Indian Scops-Owl,20250610_065800.WAV,20250610_065800,3.0
Juniper Titmouse,Baeolophus ridgwayi,27.0,30.0,0.15437163412570953,Baeolophus ridgwayi_Juniper Titmouse,20250610_065800.WAV,20250610_065800,3.0
Indian Scops-Owl,Otus bakkamoena,36.0,39.0,0.11444662511348724,Otus bakkamoena_Indian Scops-Owl,20250610_065800.WAV,20250610_065800,3.0
Indian Scops-Owl,Otus bakkamoena,39.0,42.0,0.19591057300567627,Otus bakkamoena_Indian Scops-Owl,20250610_065800.WAV,20250610_065800,3.0
Oriental Scops-Owl,Otus sunia,39.0,42.0,0.11411060392856598,Otus sunia_Oriental Scops-Owl,20250610_065800.WAV,20250610_065800,3.0
Indian Scops-Owl,Otus bakkamoena,42.0,45.0,0.10534577071666718,Otus bakkamoena_Indian Scops-Owl,20250610_065800.WAV,20250610_065800,3.0
Indian Scops-Owl,Otus bakkamoena,45.0,48.0,0.10685115307569504,Otus bakkamoena_Indian Scops-Owl,20250610_065800.WAV,20250610_065800,3.0
Common True Katydid,Pterophylla camellifolia,48.0,51.0,0.18013498187065125,Pterophylla camellifolia_Common True Katydid,20250610_065800.WAV,20250610_065800,3.0
Common True Katydid,Pterophylla camellifolia,51.0,54.0,0.13726463913917542,Pterophylla camellifolia_Common True Katydid,20250610_065800.WAV,20250610_065800,3.0
Indian Scops-Owl,Otus bakkamoena,51.0,54.0,0.10721572488546371,Otus bakkamoena_Indian Scops-Owl,20250610_065800.WAV,20250610_065800,3.0
Juniper Titmouse,Baeolophus ridgwayi,15.0,18.0,0.3269652724266052,Baeolophus ridgwayi_Juniper Titmouse,20250610_065900.WAV,20250610_065900,3.0
Spotted Owlet,Athene brama,18.0,21.0,0.1153157576918602,Athene brama_Spotted Owlet,20250610_065900.WAV,20250610_065900,3.0
Indian Scops-Owl,Otus bakkamoena,24.0,27.0,0.16846047341823578,Otus bakkamoena_Indian Scops-Owl,20250610_065900.WAV,20250610_065900,3.0
African Scops-Owl,Otus senegalensis,24.0,27.0,0.11283105611801147,Otus senegalensis_African Scops-Owl,20250610_065900.WAV,20250610_065900,3.0
Juniper Titmouse,Baeolophus ridgwayi,6.0,9.0,0.23089054226875305,Baeolophus ridgwayi_Juniper Titmouse,20250610_070000.WAV,20250610_070000,3.0
Common True Katydid,Pterophylla camellifolia,6.0,9.0,0.1561257392168045,Pterophylla camellifolia_Common True Katydid,20250610_070000.WAV,20250610_070000,3.0
Barn Owl,Tyto alba,6.0,9.0,0.11235722154378891,Tyto alba_Barn Owl,20250610_070000.WAV,20250610_070000,3.0
Indian Scops-Owl,Otus bakkamoena,9.0,12.0,0.26785844564437866,Otus bakkamoena_Indian Scops-Owl,20250610_070000.WAV,20250610_070000,3.0
Collared Scops-Owl,Otus lettia,9.0,12.0,0.17919720709323883,Otus lettia_Collared Scops-Owl,20250610_070000.WAV,20250610_070000,3.0
Barn Owl,Tyto alba,9.0,12.0,0.152375727891922,Tyto alba_Barn Owl,20250610_070000.WAV,20250610_070000,3.0
Western Screech-Owl,Megascops kennicottii,9.0,12.0,0.10713543742895126,Megascops kennicottii_Western Screech-Owl,20250610_070000.WAV,20250610_070000,3.0
Bridled Titmouse,Baeolophus wollweberi,12.0,15.0,0.37799981236457825,Baeolophus wollweberi_Bridled Titmouse,20250610_070000.WAV,20250610_070000,3.0
Western Screech-Owl,Megascops kennicottii,12.0,15.0,0.1796851009130478,Megascops kennicottii_Western Screech-Owl,20250610_070000.WAV,20250610_070000,3.0
Barn Owl,Tyto alba,15.0,18.0,0.19211024045944214,Tyto alba_Barn Owl,20250610_070000.WAV,20250610_070000,3.0
Engine,Engine,24.0,27.0,0.16915057599544525,Engine_Engine,20250610_070000.WAV,20250610_070000,3.0
Engine,Engine,27.0,30.0,0.5378584265708923,Engine_Engine,20250610_070000.WAV,20250610_070000,3.0
Barn Owl,Tyto alba,36.0,39.0,0.10909037292003632,Tyto alba_Barn Owl,20250610_070000.WAV,20250610_070000,3.0
Great Horned Owl,Bubo virginianus,51.0,54.0,0.12368486076593399,Bubo virginianus_Great Horned Owl,20250610_070000.WAV,20250610_070000,3.0
Common True Katydid,Pterophylla camellifolia,0.0,3.0,0.12227795273065567,Pterophylla camellifolia_Common True Katydid,20250610_070100.WAV,20250610_070100,3.0
Barn Owl,Tyto alba,39.0,42.0,0.11613351106643677,Tyto alba_Barn Owl,20250610_070100.WAV,20250610_070100,3.0
Indian Scops-Owl,Otus bakkamoena,39.0,42.0,0.10867812484502792,Otus bakkamoena_Indian Scops-Owl,20250610_070100.WAV,20250610_070100,3.0
Barn Owl,Tyto alba,18.0,21.0,0.4573449492454529,Tyto alba_Barn Owl,20250610_070200.WAV,20250610_070200,3.0
Indian Scops-Owl,Otus bakkamoena,18.0,21.0,0.11471501737833023,Otus bakkamoena_Indian Scops-Owl,20250610_070200.WAV,20250610_070200,3.0
Barn Owl,Tyto alba,21.0,24.0,0.11558875441551208,Tyto alba_Barn Owl,20250610_070200.WAV,20250610_070200,3.0
Indian Scops-Owl,Otus bakkamoena,21.0,24.0,0.10340135544538498,Otus bakkamoena_Indian Scops-Owl,20250610_070200.WAV,20250610_070200,3.0
Indian Scops-Owl,Otus bakkamoena,24.0,27.0,0.17293910682201385,Otus bakkamoena_Indian Scops-Owl,20250610_070200.WAV,20250610_070200,3.0
Oriental Scops-Owl,Otus sunia,24.0,27.0,0.10337379574775696,Otus sunia_Oriental Scops-Owl,20250610_070200.WAV,20250610_070200,3.0
Juniper Titmouse,Baeolophus ridgwayi,33.0,36.0,0.13754990696907043,Baeolophus ridgwayi_Juniper Titmouse,20250610_070200.WAV,20250610_070200,3.0
Savi's Warbler,Locustella luscinioides,36.0,39.0,0.11875202506780624,Locustella luscinioides_Savi's Warbler,20250610_070200.WAV,20250610_070200,3.0
Common True Katydid,Pterophylla camellifolia,42.0,45.0,0.1997116208076477,Pterophylla camellifolia_Common True Katydid,20250610_070200.WAV,20250610_070200,3.0
Indian Nightjar,Caprimulgus asiaticus,6.0,9.0,0.12254727631807327,Caprimulgus asiaticus_Indian Nightjar,20250610_070300.WAV,20250610_070300,3.0
Savi's Warbler,Locustella luscinioides,18.0,21.0,0.19569554924964905,Locustella luscinioides_Savi's Warbler,20250610_070300.WAV,20250610_070300,3.0
Collared Scops-Owl,Otus lettia,42.0,45.0,0.1075618639588356,Otus lettia_Collared Scops-Owl,20250610_070300.WAV,20250610_070300,3.0
Collared Scops-Owl,Otus lettia,48.0,51.0,0.11121287941932678,Otus lettia_Collared Scops-Owl,20250610_070300.WAV,20250610_070300,3.0
Savi's Warbler,Locustella luscinioides,15.0,18.0,0.11013446003198624,Locustella luscinioides_Savi's Warbler,20250610_070400.WAV,20250610_070400,3.0
Indian Scops-Owl,Otus bakkamoena,27.0,30.0,0.22220541536808014,Otus bakkamoena_Indian Scops-Owl,20250610_070400.WAV,20250610_070400,3.0
Collared Scops-Owl,Otus lettia,27.0,30.0,0.162983700633049,Otus lettia_Collared Scops-Owl,20250610_070400.WAV,20250610_070400,3.0
Indian Nightjar,Caprimulgus asiaticus,27.0,30.0,0.16045545041561127,Caprimulgus asiaticus_Indian Nightjar,20250610_070400.WAV,20250610_070400,3.0
Collared Scops-Owl,Otus lettia,39.0,42.0,0.10639598220586777,Otus lettia_Collared Scops-Owl,20250610_070400.WAV,20250610_070400,3.0
Savi's Warbler,Locustella luscinioides,45.0,48.0,0.12755469977855682,Locustella luscinioides_Savi's Warbler,20250610_070400.WAV,20250610_070400,3.0
Collared Scops-Owl,Otus lettia,30.0,33.0,0.13673795759677887,Otus lettia_Collared Scops-Owl,20250610_070500.WAV,20250610_070500,3.0
Indian Scops-Owl,Otus bakkamoena,30.0,33.0,0.1321464627981186,Otus bakkamoena_Indian Scops-Owl,20250610_070500.WAV,20250610_070500,3.0
Collared Scops-Owl,Otus lettia,33.0,36.0,0.23955963551998138,Otus lettia_Collared Scops-Owl,20250610_070500.WAV,20250610_070500,3.0
Indian Scops-Owl,Otus bakkamoena,33.0,36.0,0.13712278008460999,Otus bakkamoena_Indian Scops-Owl,20250610_070500.WAV,20250610_070500,3.0
Collared Scops-Owl,Otus lettia,45.0,48.0,0.10718019306659698,Otus lettia_Collared Scops-Owl,20250610_070500.WAV,20250610_070500,3.0
Collared Scops-Owl,Otus lettia,48.0,51.0,0.12268173694610596,Otus lettia_Collared Scops-Owl,20250610_070500.WAV,20250610_070500,3.0
Indian Scops-Owl,Otus bakkamoena,48.0,51.0,0.11461377888917923,Otus bakkamoena_Indian Scops-Owl,20250610_070500.WAV,20250610_070500,3.0
Indian Scops-Owl,Otus bakkamoena,51.0,54.0,0.22916483879089355,Otus bakkamoena_Indian Scops-Owl,20250610_070500.WAV,20250610_070500,3.0
Collared Scops-Owl,Otus lettia,51.0,54.0,0.1013166606426239,Otus lettia_Collared Scops-Owl,20250610_070500.WAV,20250610_070500,3.0
Indian Scops-Owl,Otus bakkamoena,6.0,9.0,0.13248272240161896,Otus bakkamoena_Indian Scops-Owl,20250610_070600.WAV,20250610_070600,3.0
Collared Scops-Owl,Otus lettia,6.0,9.0,0.10989931970834732,Otus lettia_Collared Scops-Owl,20250610_070600.WAV,20250610_070600,3.0
Indian Scops-Owl,Otus bakkamoena,9.0,12.0,0.14054568111896515,Otus bakkamoena_Indian Scops-Owl,20250610_070600.WAV,20250610_070600,3.0
Collared Scops-Owl,Otus lettia,9.0,12.0,0.13473279774188995,Otus lettia_Collared Scops-Owl,20250610_070600.WAV,20250610_070600,3.0
Collared Scops-Owl,Otus lettia,27.0,30.0,0.10368295758962631,Otus lettia_Collared Scops-Owl,20250610_070600.WAV,20250610_070600,3.0
Barn Owl,Tyto alba,24.0,27.0,0.19653140008449554,Tyto alba_Barn Owl,20250610_070700.WAV,20250610_070700,3.0
Indian Scops-Owl,Otus bakkamoena,27.0,30.0,0.11077907681465149,Otus bakkamoena_Indian Scops-Owl,20250610_070700.WAV,20250610_070700,3.0
Barn Owl,Tyto alba,12.0,15.0,0.23088392615318298,Tyto alba_Barn Owl,20250610_070900.WAV,20250610_070900,3.0
Barn Owl,Tyto alba,15.0,18.0,0.22323206067085266,Tyto alba_Barn Owl,20250610_070900.WAV,20250610_070900,3.0
Barn Owl,Tyto alba,18.0,21.0,0.27326226234436035,Tyto alba_Barn Owl,20250610_070900.WAV,20250610_070900,3.0
Barn Owl,Tyto alba,45.0,48.0,0.1310487538576126,Tyto alba_Barn Owl,20250610_070900.WAV,20250610_070900,3.0
Common True Katydid,Pterophylla camellifolia,27.0,30.0,0.12687666714191437,Pterophylla camellifolia_Common True Katydid,20250610_071000.WAV,20250610_071000,3.0
Oriental Scops-Owl,Otus sunia,33.0,36.0,0.19170896708965302,Otus sunia_Oriental Scops-Owl,20250610_071000.WAV,20250610_071000,3.0
Oriental Scops-Owl,Otus sunia,39.0,42.0,0.404466837644577,Otus sunia_Oriental Scops-Owl,20250610_071000.WAV,20250610_071000,3.0
Indian Scops-Owl,Otus bakkamoena,39.0,42.0,0.10469271242618561,Otus bakkamoena_Indian Scops-Owl,20250610_071000.WAV,20250610_071000,3.0
Collared Scops-Owl,Otus lettia,48.0,51.0,0.1463523507118225,Otus lettia_Collared Scops-Owl,20250610_071000.WAV,20250610_071000,3.0
Common Virtuoso Katydid,Amblycorypha longinicta,48.0,51.0,0.1360730528831482,Amblycorypha longinicta_Common Virtuoso Katydid,20250610_071000.WAV,20250610_071000,3.0
Common True Katydid,Pterophylla camellifolia,51.0,54.0,0.20524336397647858,Pterophylla camellifolia_Common True Katydid,20250610_071000.WAV,20250610_071000,3.0
Savi's Warbler,Locustella luscinioides,9.0,12.0,0.11629964411258698,Locustella luscinioides_Savi's Warbler,20250610_071100.WAV,20250610_071100,3.0
Oriental Scops-Owl,Otus sunia,12.0,15.0,0.11122431606054306,Otus sunia_Oriental Scops-Owl,20250610_071100.WAV,20250610_071100,3.0
Elf Owl,Micrathene whitneyi,21.0,24.0,0.10036361217498779,Micrathene whitneyi_Elf Owl,20250610_071100.WAV,20250610_071100,3.0
Barn Owl,Tyto alba,27.0,30.0,0.13431473076343536,Tyto alba_Barn Owl,20250610_071200.WAV,20250610_071200,3.0
Barn Owl,Tyto alba,30.0,33.0,0.10223653167486191,Tyto alba_Barn Owl,20250610_071200.WAV,20250610_071200,3.0
Elf Owl,Micrathene whitneyi,36.0,39.0,0.10771606117486954,Micrathene whitneyi_Elf Owl,20250610_071200.WAV,20250610_071200,3.0
Barn Owl,Tyto alba,6.0,9.0,0.11715508997440338,Tyto alba_Barn Owl,20250610_071300.WAV,20250610_071300,3.0
Barn Owl,Tyto alba,9.0,12.0,0.1425023227930069,Tyto alba_Barn Owl,20250610_071300.WAV,20250610_071300,3.0
Indian Scops-Owl,Otus bakkamoena,15.0,18.0,0.12630754709243774,Otus bakkamoena_Indian Scops-Owl,20250610_071300.WAV,20250610_071300,3.0
Barn Owl,Tyto alba,33.0,36.0,0.16170001029968262,Tyto alba_Barn Owl,20250610_071300.WAV,20250610_071300,3.0
Common True Katydid,Pterophylla camellifolia,36.0,39.0,0.31812626123428345,Pterophylla camellifolia_Common True Katydid,20250610_071300.WAV,20250610_071300,3.0
Barn Owl,Tyto alba,36.0,39.0,0.281456857919693,Tyto alba_Barn Owl,20250610_071300.WAV,20250610_071300,3.0
Barn Owl,Tyto alba,42.0,45.0,0.11182518303394318,Tyto alba_Barn Owl,20250610_071300.WAV,20250610_071300,3.0
